,inputs,policies,policies_sent,labels
10437,To improve performance the database should be optimized regularly.,"[{'decision': 'allow', 'subject': 'database', 'action': 'be optimized', 'resource': 'none', 'condition': 'none', 'purpose': 'none'}]",database is allowed to be optimized,9
10438,"A user (a patient, patient representative, or LHCP) wishes to read a message from the message inbox or outbox.","[{'decision': 'allow', 'subject': 'patient representative', 'action': 'read', 'resource': 'message', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'read', 'resource': 'message', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'read', 'resource': 'message', 'condition': 'none', 'purpose': 'none'}]",patient representative is shall to read message and lhcp is shall to read message and message is authorized to be read,6
10439,The administrator is not allowed to change a reason or number in this access entry.,"[{'decision': 'deny', 'subject': 'administrator', 'action': 'change', 'resource': 'reason', 'condition': 'none', 'purpose': 'none'}]",administrator is not able to change reason,10
10440,"Members of the HR department are permitted to view and update personal employee information for the purpose of maintaining accurate records, provided that they have obtained consent from the respective employee beforehand.","[{'decision': 'allow', 'subject': 'HR department member', 'action': 'view', 'resource': 'personal employee information', 'purpose': 'maintaining accurate records', 'condition': 'obtained consent from the respective employee'}, {'decision': 'allow', 'subject': 'HR department member', 'action': 'review', 'resource': 'personal employee information', 'purpose': 'maintaining accurate records', 'condition': 'obtained consent from the respective employee'}]","HR department member is able to view personal employee information for the purpose of maintaining accurate records, if obtained consent from the respective employee and HR department member is allowed to review personal employee information for the purpose of maintaining accurate records, if obtained consent from the respective employee",2
10441,"If, in the Update a Schedule or Delete a Schedule sub-flows, the system is unable to retrieve the Student’s schedule, an error message is displayed.","[{'decision': 'allow', 'subject': 'none', 'action': 'display', 'resource': 'error message', 'condition': 'none', 'purpose': 'none'}]",error message is authorized to be display,8
10442,The list is ranked by the quantity of patients the LHCP has treated for that diagnosis (each patient is only counted once regardless of the number of office visits).,"[{'decision': 'allow', 'subject': 'none', 'action': 'rank', 'resource': 'medical records database', 'condition': 'none', 'purpose': 'none'}]",medical records database is allowed to be rank,3
10443,"Bank managers are allowed to access, review and approve loan applications stored in the database for the purpose of credit approval, provided that the loan amount is below $500,000.","[{'decision': 'allow', 'subject': 'bank manager', 'action': 'access', 'resource': 'loan application', 'purpose': 'credit approval', 'condition': 'loan amount is below $500,000'}, {'decision': 'allow', 'subject': 'bank manager', 'action': 'approve', 'resource': 'loan application', 'purpose': 'credit approval', 'condition': 'loan amount is below $500,000'}]","bank manager is allowed to access loan application for the purpose of credit approval, if loan amount is below $500,000 and bank manager is allowed to approve loan application for the purpose of credit approval, if loan amount is below $500,000",10
10444,The user (patient) has authenticated himself or herself in the iTrust Medical Records system (UC3).,"[{'decision': 'allow', 'subject': 'none', 'action': 'authenticate', 'resource': 'user', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'patient', 'action': 'authenticate', 'resource': 'himself', 'condition': 'none', 'purpose': 'none'}]",user is allowed to be authenticate and patient is allowed to authenticate himself,6
10445,"Agricultural analysts are permitted to access and modify data related to crop production in the farm management system for the purpose of trend analysis, provided the data does not contain personal information about the farmers.","[{'decision': 'allow', 'subject': 'none', 'action': 'access', 'resource': 'data related to crop production', 'purpose': 'trend analysis', 'condition': 'data does not contain personal information about the farmers'}, {'decision': 'allow', 'subject': 'agricultural analyst', 'action': 'modify', 'resource': 'data related to crop production', 'purpose': 'trend analysis', 'condition': 'data does not contain personal information about the farmers'}]","data related to crop production is authorized to be access for the purpose of trend analysis, if data does not contain personal information about the farmers and agricultural analyst is shall to modify data related to crop production for the purpose of trend analysis, if data does not contain personal information about the farmers",6
10446,"A patient can select to report height, weight, possibly and possibly pedometer readings for those for whom he or she is a patient representative.","[{'decision': 'allow', 'subject': 'patient', 'action': 'report', 'resource': 'height', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'patient', 'action': 'report', 'resource': 'pedometer reading', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'patient', 'action': 'report', 'resource': 'weight', 'condition': 'during office working hours', 'purpose': 'none'}]",patient is authorized to report height and patient is authorized to report pedometer reading and patient is able to report weight if during office working hours,4
10447," ""The system will automatically lock user accounts after five consecutive failed login attempts.""","[{'decision': 'allow', 'subject': 'fund manager', 'action': 'lock', 'resource': 'user account', 'condition': 'after five consecutive failed login attempt', 'purpose': 'none'}]",fund manager is allowed to lock user account if after five consecutive failed login attempt,1
10448,Staff members in the accounting department are authorized to access financial records only during office hours for the purpose of auditing.,"[{'decision': 'allow', 'subject': 'staff members in accounting department', 'action': 'move', 'resource': 'financial records', 'purpose': 'auditing', 'condition': 'during office hours'}]","staff members in accounting department is able to move financial records for the purpose of auditing, if during office hours",2
10449,System presents a listing of all his patients.,"[{'decision': 'allow', 'subject': 'system', 'action': 'present', 'resource': 'listing of all his patient', 'condition': 'none', 'purpose': 'none'}]",system is shall to present listing of all his patient,11
10450,The HCP enters a patient as a new user of iTrust Medical Records system.,"[{'decision': 'allow', 'subject': 'hcp', 'action': 'enter', 'resource': 'file in the system server', 'condition': 'none', 'purpose': 'none'}]",hcp is allowed to enter file in the system server,3
10451,A user chooses to view physician satisfaction survey results.,"[{'decision': 'allow', 'subject': 'user', 'action': 'view', 'resource': 'external grade', 'condition': 'none', 'purpose': 'none'}]",user is allowed to view external grade,3
10452,John can assign clerk to users from department A,"[{'decision': 'allow', 'subject': 'john', 'action': 'assign', 'resource': 'clerk', 'condition': 'none', 'purpose': 'next examination visit'}]",john is shall to assign clerk for the purpose of next examination visit,5
10453,Customer service reps can use credit card number for the purpose of updating records if requested by a patient.,"[{'decision': 'allow', 'subject': 'customer service rep', 'action': 'upload', 'resource': 'credit card number', 'condition': 'requested by a patient', 'purpose': 'updating record'}]","customer service rep is shall to upload credit card number for the purpose of updating record, if requested by a patient",2
10454,The LHCP types an invalid age range and is prompted to try again.,"[{'decision': 'allow', 'subject': 'none', 'action': 'type', 'resource': 'invalid age range', 'condition': 'none', 'purpose': 'none'}]",invalid age range is authorized to be type,6
10455,"Human Resources staff may have read and write access to employee personal data for the purpose of maintaining records, as long as the action happens within regular working hours.","[{'decision': 'allow', 'subject': 'human resources staff', 'action': 'read', 'resource': 'employee personal data', 'purpose': 'maintaining records', 'condition': 'none'}, {'decision': 'allow', 'subject': 'human resources staff', 'action': 'write', 'resource': 'employee personal data', 'purpose': 'maintaining records', 'condition': 'action happens within regular working hours'}]","human resources staff is authorized to read employee personal data for the purpose of maintaining records and human resources staff is allowed to write employee personal data for the purpose of maintaining records, if action happens within regular working hours",8
10456,The user provides a zip code or a hospital code and an physician type.,"[{'decision': 'allow', 'subject': 'user', 'action': 'provide', 'resource': 'zip code', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'user', 'action': 'provide', 'resource': 'physician type', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'user', 'action': 'provide', 'resource': 'none', 'condition': 'none', 'purpose': 'none'}]",user is authorized to provide zip code and user is able to provide physician type and user is authorized to provide,7
10457,"When the use case starts, if it is determined that registration for the current semester has been closed, a message is displayed to the Professor, and the use case terminates.","[{'decision': 'allow', 'subject': 'none', 'action': 'terminate', 'resource': 'use case', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'display', 'resource': 'message', 'condition': 'it is determined that registration for the current semester has been closed', 'purpose': 'none'}]",use case is shall to be terminate and message is allowed to be display if it is determined that registration for the current semester has been closed,8
10458,An LHCP can delete a patient from his monitoring list by the LHCP typing the the patient's MID.,"[{'decision': 'allow', 'subject': 'lhcp', 'action': 'delete', 'resource': 'cyberchair', 'condition': 'none', 'purpose': 'none'}]",lhcp is shall to delete cyberchair,3
10459,"For each student on the list, the Professor enters a grade: A, B, C, D, F, or I.  The system records the student’s grade for the course offering.","[{'decision': 'allow', 'subject': 'professor', 'action': 'enter', 'resource': 'none', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'system', 'action': 'record', 'resource': 'grade', 'condition': 'none', 'purpose': 'none'}]",professor is able to enter and system is able to record grade,7
10460,The LHCP chooses to schedule an appointment with a patient (it is assumed that the LHCP and patient have already worked out the details of the appointment in person or via telephone outside of the system).,"[{'decision': 'allow', 'subject': 'lhcp', 'action': 'schedule', 'resource': 'appointment with a patient', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'change', 'resource': 'details of the appointment', 'condition': 'none', 'purpose': 'none'}]",lhcp is able to schedule appointment with a patient and lhcp is authorized to change details of the appointment,2
10461,The LHCP is presented with a listing of all his or her patients to view physiologic data reported during the current date.,"[{'decision': 'allow', 'subject': 'none', 'action': 'present', 'resource': 'listing of all his or her patient', 'condition': 'condition is satisfied', 'purpose': 'view physiologic data reported during the current date'}]","listing of all his or her patient is allowed to be present for the purpose of view physiologic data reported during the current date, if condition is satisfied",4
10462,"When a person logs into iTrust, if he or she is a personal representative, they view their own records or those of the person or people they are representing.","[{'decision': 'allow', 'subject': 'person', 'action': 'view', 'resource': 'records of the person representing', 'condition': 'person is a personal representative', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'person', 'action': 'view', 'resource': 'records of the people representing', 'condition': 'person is a personal representative', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'view', 'resource': 'own record', 'condition': 'person is a personal representative', 'purpose': 'none'}]",person is allowed to view records of the person representing if person is a personal representative and person is able to view records of the people representing if person is a personal representative and own record is allowed to be view if person is a personal representative,6
10463,Only the senior members of the accounting team may have access to and modify the financial data during normal business hours for auditing purposes.,"[{'decision': 'allow', 'subject': 'senior member of the accounting team', 'action': 'access', 'resource': 'financial data', 'purpose': 'auditing', 'condition': 'during normal business hours'}, {'decision': 'allow', 'subject': 'senior member of the accounting team', 'action': 'modify', 'resource': 'none', 'purpose': 'auditing', 'condition': 'during normal business hours'}]","senior member of the accounting team is allowed to access financial data for the purpose of auditing, if during normal business hours and senior member of the accounting team is authorized to modify for the purpose of auditing, if during normal business hours",7
10464,"Farm managers can access, modify, and delete crop data from the farm management system for operational planning purposes, provided that data protection regulations and protocols are strictly adhered to.","[{'decision': 'allow', 'subject': 'farm manager', 'action': 'modify', 'resource': 'crop data', 'purpose': 'operational planning', 'condition': 'data protection regulations and protocols are strictly adhered to'}, {'decision': 'allow', 'subject': 'farm manager', 'action': 'delete', 'resource': 'crop data', 'purpose': 'operational planning', 'condition': 'data protection regulations and protocols are strictly adhered to'}]","farm manager is able to modify crop data for the purpose of operational planning, if data protection regulations and protocols are strictly adhered to and farm manager is authorized to delete crop data for the purpose of operational planning, if data protection regulations and protocols are strictly adhered to",10
10465,"The Human Resources department is authorized to access, edit and delete employee personal data for administrative tasks, but only during business hours.","[{'decision': 'allow', 'subject': 'human resources department', 'action': 'access', 'resource': 'employee personal data', 'purpose': 'none', 'condition': 'during business hours'}, {'decision': 'allow', 'subject': 'human resources department', 'action': 'edit', 'resource': 'employee personal data', 'purpose': 'administrative tasks', 'condition': 'during business hours'}, {'decision': 'allow', 'subject': 'human resources department', 'action': 'delete', 'resource': 'employee personal data', 'purpose': 'administrative tasks', 'condition': 'during business hours'}]","human resources department is allowed to access employee personal data if during business hours and human resources department is shall to edit employee personal data for the purpose of administrative tasks, if during business hours and human resources department is able to delete employee personal data for the purpose of administrative tasks, if during business hours",9
10466,Customer service reps and managers may collect and use name and social security number for the purpose of confirming identity.,"[{'decision': 'allow', 'subject': 'customer service rep', 'action': 'use', 'resource': 'name', 'condition': 'none', 'purpose': 'confirming identity'}, {'decision': 'allow', 'subject': 'manager', 'action': 'use', 'resource': 'name', 'condition': 'none', 'purpose': 'confirming identity'}, {'decision': 'allow', 'subject': 'manager', 'action': 'collect', 'resource': 'name', 'condition': 'none', 'purpose': 'confirming identity'}, {'decision': 'allow', 'subject': 'manager', 'action': 'collect', 'resource': 'none', 'condition': 'none', 'purpose': 'confirming identity'}, {'decision': 'allow', 'subject': 'customer service rep', 'action': 'use', 'resource': 'social security number', 'condition': 'none', 'purpose': 'confirming identity'}, {'decision': 'allow', 'subject': 'customer service rep', 'action': 'collect', 'resource': 'name', 'condition': 'none', 'purpose': 'confirming identity'}, {'decision': 'allow', 'subject': 'manager', 'action': 'use', 'resource': 'social security number', 'condition': 'none', 'purpose': 'confirming identity'}, {'decision': 'allow', 'subject': 'customer service rep', 'action': 'collect', 'resource': 'social security number', 'condition': 'none', 'purpose': 'confirming identity'}]",customer service rep is allowed to use name for the purpose of confirming identity and manager is shall to use name for the purpose of confirming identity and manager is allowed to collect name for the purpose of confirming identity and manager is allowed to collect for the purpose of confirming identity and customer service rep is authorized to use social security number for the purpose of confirming identity and customer service rep is authorized to collect name for the purpose of confirming identity and manager is able to use social security number for the purpose of confirming identity and customer service rep is able to collect social security number for the purpose of confirming identity,7
10467,"HCPs can modify or delete the fields of the office visit information (date, hospital, notes, prescriptions, laboratory procedures, diagnoses, procedures, possibly and possibly immunizations).","[{'decision': 'allow', 'subject': 'uc10', 'action': 'modify', 'resource': 'fields of the office visit information', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'hcp', 'action': 'delete', 'resource': 'fields of the office visit information', 'condition': 'none', 'purpose': 'none'}]",uc10 is able to modify fields of the office visit information and hcp is shall to delete fields of the office visit information,1
10468,Bank tellers can access customer savings account records for service-related requests if the customer is present or provides explicit written consent.,"[{'decision': 'allow', 'subject': 'bank teller', 'action': 'access', 'resource': 'customer savings account record', 'purpose': 'none', 'condition': 'customer is present or provides explicit written consent'}]",bank teller is able to access customer savings account record if customer is present or provides explicit written consent,9
10469,A receiving HCP views a list of received referrals .,"[{'decision': 'allow', 'subject': 'health records administrator', 'action': 'view', 'resource': 'list of received referral', 'condition': 'none', 'purpose': 'none'}]",health records administrator is able to view list of received referral,1
10470,The drug is checked against the patient's drug allergies.,"[{'decision': 'deny', 'subject': 'none', 'action': 'check', 'resource': 'drug', 'condition': 'none', 'purpose': 'none'}]",drug is not able to be check,0
10471,The administrator chooses a drug from each list to record an interaction between the two drugs.,"[{'decision': 'allow', 'subject': 'administrator', 'action': 'choose', 'resource': 'drug', 'condition': 'none', 'purpose': 'none'}]",administrator is shall to choose drug,9
10472,"The user has successfully changed his or her password (UC3, S2).","[{'decision': 'allow', 'subject': 'user', 'action': 'read out', 'resource': 'password', 'condition': 'none', 'purpose': 'none'}]",user is shall to read out password,2
10473,"( If a patient or personal representative hasn now taken this office visit satisfaction survey for an office visit yet ) the patient is not allowed to take the survey for next examination visit ( if one survey has already been taken, the patient or personal health representative will subsequently have the ability to take either survey).","[{'decision': 'deny', 'subject': 'none', 'action': 'take', 'resource': 'survey', 'condition': 'patient or personal representative hasn now taken this office visit satisfaction survey for an office visit yet', 'purpose': 'next examination visit'}, {'decision': 'deny', 'subject': 'personal health representative', 'action': 'take', 'resource': 'survey', 'condition': 'one survey has already been taken', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'patient', 'action': 'take', 'resource': 'survey', 'condition': 'one survey has already been taken', 'purpose': 'none'}]","survey is shall not to be take for the purpose of next examination visit, if patient or personal representative hasn now taken this office visit satisfaction survey for an office visit yet and personal health representative is prohibited to take survey if one survey has already been taken and patient is unauthorized to take survey if one survey has already been taken",6
10474,The user's associated filter initially has all empty inputs for the filtering criteria before the user modifies it.,"[{'decision': 'allow', 'subject': 'user', 'action': 'modify', 'resource': 'users associated filter', 'condition': 'disclosure status agreed by the customer allows the requested information to be shared', 'purpose': 'none'}]",user is able to modify users associated filter if disclosure status agreed by the customer allows the requested information to be shared,4
10475,"Employees assigned to the Human Resource department can modify and manage personnel files for the purpose of employee assessment, under the condition of being authorized by superior management.","[{'decision': 'allow', 'subject': 'employee in human resource department', 'action': 'modify', 'resource': 'personnel file', 'purpose': 'none', 'condition': 'authorized by superior management'}, {'decision': 'allow', 'subject': 'employee in human resource department', 'action': 'manage', 'resource': 'personnel file', 'purpose': 'employee assessment', 'condition': 'authorized by superior management'}]","employee in human resource department is shall to modify personnel file if authorized by superior management and employee in human resource department is authorized to manage personnel file for the purpose of employee assessment, if authorized by superior management",9
10476,The Registrar makes the desired changes to the student information.,"[{'decision': 'allow', 'subject': 'registrar', 'action': 'make', 'resource': 'desired change', 'condition': 'none', 'purpose': 'none'}]",registrar is authorized to make desired change,11
10477,To ensure data confidentiality only authorized personnel can view the financial statements.,"[{'decision': 'allow', 'subject': 'authorized personnel', 'action': 'view', 'resource': 'financial statement', 'condition': 'none', 'purpose': 'none'}]",authorized personnel is authorized to view financial statement,9
10478,The Registrar makes the desired changes to the student information.,"[{'decision': 'allow', 'subject': 'registrar', 'action': 'make', 'resource': 'none', 'condition': 'none', 'purpose': 'none'}]",registrar is able to make,7
10479,An LHCP or UAP can delete patients from his monitoring list.,"[{'decision': 'allow', 'subject': 'lhcp', 'action': 'delete', 'resource': 'patient', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'uap', 'action': 'delete', 'resource': 'patient', 'condition': 'none', 'purpose': 'tracking and improving behavior'}]",lhcp is allowed to delete patient and uap is shall to delete patient for the purpose of tracking and improving behavior,5
10480,"School administrative staff are authorized to create, modify, and delete student reports in the database for tracking academic progress, provided that the respective student or their guardians have given their consent.","[{'decision': 'allow', 'subject': 'school administrative staff', 'action': 'create', 'resource': 'student reports', 'purpose': 'none', 'condition': 'student or their guardians have given their consent'}, {'decision': 'allow', 'subject': 'school administrative staff', 'action': 'modify', 'resource': 'student reports', 'purpose': 'tracking academic progress', 'condition': 'student or their guardians have given their consent'}, {'decision': 'allow', 'subject': 'school administrative staff', 'action': 'delete', 'resource': 'student reports', 'purpose': 'tracking academic progress', 'condition': 'student or their guardians have given their consent'}]","school administrative staff is able to create student reports if student or their guardians have given their consent and school administrative staff is shall to modify student reports for the purpose of tracking academic progress, if student or their guardians have given their consent and school administrative staff is authorized to delete student reports for the purpose of tracking academic progress, if student or their guardians have given their consent",9
10481,An HCP can remove a previously created lab procedure for a given office visit.,"[{'decision': 'allow', 'subject': 'hcp', 'action': 'available', 'resource': 'previously created lab procedure', 'condition': 'none', 'purpose': 'none'}]",hcp is shall to available previously created lab procedure,2
10482,"Once the student has made his or her selections, the system creates a schedule for the Student containing the selected course offerings.","[{'decision': 'deny', 'subject': 'system', 'action': 'create', 'resource': 'schedule', 'condition': 'student has made his or her selection', 'purpose': 'none'}]",system is not able to create schedule if student has made his or her selection,0
10483,The LHCP or ER does not confirm the selection and is prompted to try again.,"[{'decision': 'deny', 'subject': 'er', 'action': 'confirm', 'resource': 'selection', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'confirm', 'resource': 'none', 'condition': 'none', 'purpose': 'none'}]",er is shall not to confirm selection and lhcp is shall to confirm,7
10484,The HCP enters a MID of a patient and confirms their input.,"[{'decision': 'allow', 'subject': 'hcp', 'action': 'confirm', 'resource': 'input', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'hcp', 'action': 'find', 'resource': 'mid of a patient', 'condition': 'none', 'purpose': 'none'}]",hcp is allowed to confirm input and hcp is authorized to find mid of a patient,2
10485,Users can view an owner's account but not make any changes,"[{'decision': 'allow', 'subject': 'marketing team', 'action': 'view', 'resource': 'owners account', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'user', 'action': 'make', 'resource': 'change', 'condition': 'none', 'purpose': 'none'}]",marketing team is authorized to view owners account and user is prohibited to make change,1
10486,The LHCP may choose to override this warning and confirm the date and time or may cancel and return to referring page.,"[{'decision': 'allow', 'subject': 'none', 'action': 'confirm', 'resource': 'date', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'cancel', 'resource': 'referring page', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'override', 'resource': 'warning', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'return', 'resource': 'referring page', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'lhcp', 'action': 'confirm', 'resource': 'time', 'condition': 'none', 'purpose': 'none'}]",date is shall to be confirm and lhcp is able to cancel referring page and lhcp is authorized to override warning and lhcp is authorized to return referring page and lhcp is able to confirm time,6
10487,Management can report customer transactions if required by law.,"[{'decision': 'allow', 'subject': 'management', 'action': 'admit', 'resource': 'customer transaction', 'condition': 'required by law', 'purpose': 'none'}]",management is shall to admit customer transaction if required by law,2
10488,"If, in the Delete A Schedule sub-flow, the Student decides not to delete the schedule, the delete is cancelled, and the Basic Flow is re-started at the beginning.","[{'decision': 'allow', 'subject': 'none', 'action': 'cancel', 'resource': 'delete', 'condition': 'in the delete a schedule subflow, the student decides not to delete the schedule', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'restart', 'resource': 'basic flow', 'condition': 'none', 'purpose': 'none'}]","delete is shall to be cancel if in the delete a schedule subflow, the student decides not to delete the schedule and basic flow is authorized to be restart",8
10489,"Bank tellers are permitted to access, read and modify customer account details for transaction purposes only during bank's operating hours.","[{'decision': 'allow', 'subject': 'bank teller', 'action': 'access', 'resource': 'customer account detail', 'purpose': 'transaction', 'condition': 'during bank operating hours'}, {'decision': 'allow', 'subject': 'bank teller', 'action': 'be encrypted', 'resource': 'customer account detail', 'purpose': 'transaction', 'condition': 'during bank operating hours'}, {'decision': 'allow', 'subject': 'bank teller', 'action': 'modify', 'resource': 'customer account detail', 'purpose': 'transaction', 'condition': 'during bank operating hours'}]","bank teller is able to access customer account detail for the purpose of transaction, if during bank operating hours and bank teller is allowed to be encrypted customer account detail for the purpose of transaction, if during bank operating hours and bank teller is able to modify customer account detail for the purpose of transaction, if during bank operating hours",2
10490,"Managers can read out fixed bonuses to other employees, usually not necessarily to the workers or the director.","[{'decision': 'deny', 'subject': 'manager', 'action': 'read out', 'resource': 'fixed bonuses to worker', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'manager', 'action': 'read out', 'resource': 'fixed bonuses to other employee', 'condition': 'registration has been completed in this semester', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'manager', 'action': 'read out', 'resource': 'foxed bonuses to the director', 'condition': 'none', 'purpose': 'none'}]",manager is shall not to read out fixed bonuses to worker and manager is allowed to read out fixed bonuses to other employee if registration has been completed in this semester and manager is not able to read out foxed bonuses to the director,4
10491,"For example, the manager should also be aware of the repeated attempts of a health technician to conduct information and risk management.","[{'decision': 'allow', 'subject': 'manager', 'action': 'aware', 'resource': 'repeated attempts of a health technician', 'condition': 'none', 'purpose': 'none'}]",manager is able to aware repeated attempts of a health technician,9
10492,"Any event which views, creates, edits or deletes information is logged.","[{'decision': 'allow', 'subject': 'event', 'action': 'create', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'event', 'action': 'view', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'log', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'event', 'action': 'edit', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'event', 'action': 'delete', 'resource': 'information', 'condition': 'none', 'purpose': 'none'}]",event is authorized to create information and event is able to view information and information is able to be log and event is shall not to edit information and event is able to delete information,0
10493,"A patient or personal health representative can answer any of the following questions relative to a previous (in UC9, S1) office visit according to Data Format 6.13.","[{'decision': 'allow', 'subject': 'personal health representative', 'action': 'answer', 'resource': 'question', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'patient', 'action': 'answer', 'resource': 'question', 'condition': 'none', 'purpose': 'none'}]",personal health representative is able to answer question and patient is able to answer question,11
10494,The profile of a student can only be accessed and edited by the assigned academic advisors from the respective department for educational guidance during the academic year.,"[{'decision': 'allow', 'subject': 'assigned academic advisor', 'action': 'access', 'resource': 'student profile', 'purpose': 'educational guidance', 'condition': 'completed necessary data management training within the year'}, {'decision': 'allow', 'subject': 'assigned academic advisor', 'action': 'edit', 'resource': 'student profile', 'purpose': 'educational guidance', 'condition': 'during the academic year'}]","assigned academic advisor is authorized to access student profile for the purpose of educational guidance, if completed necessary data management training within the year and assigned academic advisor is able to edit student profile for the purpose of educational guidance, if during the academic year",4
10495,An HCP may upload a photo of the patient as part of the patient's demographic records.,"[{'decision': 'allow', 'subject': 'hcp', 'action': 'upload', 'resource': 'photo of the patient', 'condition': 'none', 'purpose': 'grade updates or corrections'}]",hcp is authorized to upload photo of the patient for the purpose of grade updates or corrections,5
10496,"The system would prevent students from taking any schedules shorter than their schedules, and professors from getting assigned course names.","[{'decision': 'allow', 'subject': 'professor', 'action': 'assign', 'resource': 'course name', 'condition': 'none', 'purpose': 'none'}, {'decision': 'deny', 'subject': 'student', 'action': 'taking', 'resource': 'schedules shorter than their schedule', 'condition': 'none', 'purpose': 'none'}]",professor is shall to assign course name and student is prohibited to taking schedules shorter than their schedule,0
10497,The iTrust user (patient or HCP) has been authenticated in the iTrust Medical Records system (UC3).,"[{'decision': 'allow', 'subject': 'none', 'action': 'authenticate', 'resource': 'hcp', 'condition': 'none', 'purpose': 'none'}, {'decision': 'allow', 'subject': 'none', 'action': 'aware', 'resource': 'patient', 'condition': 'none', 'purpose': 'none'}]",hcp is able to be authenticate and patient is able to be aware,2
10498,"Farm managers are permitted to access and modify crop yield records for planning future plantation, provided the changes are made during operational hours.","[{'decision': 'allow', 'subject': 'farm manager', 'action': 'access', 'resource': 'crop yield record', 'purpose': 'planning future plantation', 'condition': 'changes are made during operational hours'}, {'decision': 'allow', 'subject': 'farm manager', 'action': 'modify', 'resource': 'none', 'purpose': 'planning future plantation', 'condition': 'changes are made during operational hours'}]","farm manager is authorized to access crop yield record for the purpose of planning future plantation, if changes are made during operational hours and farm manager is allowed to modify for the purpose of planning future plantation, if changes are made during operational hours",7
10499,A Lab Technician can update the status of a lab procedure to received.,"[{'decision': 'allow', 'subject': 'lab technician', 'action': 'update', 'resource': 'status of a lab procedure', 'condition': 'none', 'purpose': 'crop planning'}]",lab technician is allowed to update status of a lab procedure for the purpose of crop planning,5
10500,"A reviewer of a paper can resign, unless he has already appointed a sub-reviewer for the paper.","[{'decision': 'deny', 'subject': 'reviewer', 'action': 'resign', 'resource': 'none', 'condition': 'none', 'purpose': 'none'}]",reviewer is not able to resign,8
10501,"The user selects a message from the list to read by clicking the ""Read"" link beside the row for the message, and then the message subject, the name of the sender, the name of the the recipient, timestamp, and the message text shall be displayed in a new page.","[{'decision': 'allow', 'subject': 'user', 'action': 'click', 'resource': 'read link', 'condition': 'none', 'purpose': 'read'}, {'decision': 'allow', 'subject': 'user', 'action': 'publish', 'resource': 'message', 'condition': 'none', 'purpose': 'read'}]",user is able to click read link for the purpose of read and user is authorized to publish message for the purpose of read,2
10502,"University administrative staff can access, modify, and update student's academic records for the purpose of performing their administrative duties, provided that the relevant data protection regulations are adhered to.","[{'decision': 'allow', 'subject': 'university administrative staff', 'action': 'access', 'resource': 'student academic record', 'purpose': 'performing administrative duties', 'condition': 'data protection regulations are adhered to'}, {'decision': 'allow', 'subject': 'university administrative staff', 'action': 'modify', 'resource': 'student academic record', 'purpose': 'performing administrative duties', 'condition': 'data protection regulations are adhered to'}]","university administrative staff is able to access student academic record for the purpose of performing administrative duties, if data protection regulations are adhered to and university administrative staff is authorized to modify student academic record for the purpose of performing administrative duties, if data protection regulations are adhered to",10
